T,X,V
9.29333,-0.127172,0.69293
9.30667,-0.117841,0.706467
9.32,-0.108338,0.718697
9.33333,-0.0986814,0.729603
9.34667,-0.0888881,0.739171
9.36,-0.0789762,0.747389
9.37333,-0.0689638,0.754249
9.38667,-0.058869,0.759744
9.4,-0.04871,0.763869
9.41333,-0.0385052,0.766622
9.42667,-0.0282729,0.768004
9.44,-0.0180312,0.768019
9.45333,-0.00779843,0.766671
9.46667,0.00240732,0.763968
9.48,0.0125681,0.759921
9.49333,0.022666,0.754542
9.50667,0.0326833,0.747846
9.52,0.0426027,0.73985
9.53333,0.052407,0.730573
9.54667,0.0620791,0.720037
9.56,0.0716025,0.708266
9.57333,0.0809608,0.695286
9.58667,0.0901382,0.681124
9.6,0.099119,0.665811
9.61333,0.107888,0.649377
9.62667,0.116431,0.631857
9.64,0.124733,0.613286
9.65333,0.132781,0.593701
9.66667,0.140561,0.573141
9.68,0.14806,0.551647
9.69333,0.155267,0.52926
9.70667,0.16217,0.506023
9.72,0.168758,0.481981
9.73333,0.17502,0.45718
9.74667,0.180946,0.431668
9.76,0.186528,0.405491
9.77333,0.191756,0.3787
9.78667,0.196624,0.351343
9.8,0.201123,0.323473
9.81333,0.205248,0.29514
9.82667,0.208992,0.266396
9.84,0.21235,0.237295
9.85333,0.215318,0.207889
9.86667,0.217893,0.178232
9.88,0.22007,0.148376
9.89333,0.221849,0.118377
9.90667,0.223227,0.0882877
9.92,0.224203,0.0581617
9.93333,0.224778,0.0280528
9.94667,0.224951,-0.00198569
9.96,0.224725,-0.0319007
9.97333,0.224101,-0.0616398
9.98667,0.223083,-0.0911507
10,0.221672,-0.120382
10.0133,0.219874,-0.149283
10.0267,0.217693,-0.177804
10.04,0.215134,-0.205896
10.0533,0.212204,-0.233511
10.0667,0.20891,-0.2606
10.08,0.205258,-0.28712
10.0933,0.201256,-0.313024
10.1067,0.196913,-0.33827
10.12,0.192238,-0.362814
10.1333,0.187241,-0.386617
10.1467,0.181932,-0.40964
10.16,0.176321,-0.431843
10.1733,0.17042,-0.453192
10.1867,0.16424,-0.473652
10.2,0.157793,-0.49319
10.2133,0.151093,-0.511774
10.2267,0.144151,-0.529377
10.24,0.13698,-0.545971
10.2533,0.129596,-0.561529
10.2667,0.122011,-0.57603
10.28,0.11424,-0.589451
10.2933,0.106297,-0.601772
10.3067,0.0981976,-0.612977
10.32,0.0899562,-0.62305
10.3333,0.081588,-0.631977
10.3467,0.0731086,-0.639747
10.36,0.0645333,-0.646352
10.3733,0.0558778,-0.651783
10.3867,0.0471577,-0.656037
10.4,0.0383887,-0.65911
10.4133,0.0295867,-0.661001
10.4267,0.0207673,-0.661712
10.44,0.0119462,-0.661247
10.4533,0.00313921,-0.65961
10.4667,-0.00563821,-0.65681
10.48,-0.0143706,-0.652856
10.4933,-0.0230426,-0.647759
10.5067,-0.0316392,-0.641534
10.52,-0.0401452,-0.634195
10.5333,-0.0485462,-0.625761
10.5467,-0.0568274,-0.61625
10.56,-0.0649748,-0.605684
10.5733,-0.0729744,-0.594086
10.5867,-0.0808126,-0.58148
10.6,-0.0884762,-0.567893
10.6133,-0.0959522,-0.553353
10.6267,-0.103228,-0.537889
10.64,-0.110292,-0.521533
10.6533,-0.117132,-0.504317
10.6667,-0.123737,-0.486275
10.68,-0.130096,-0.467442
10.6933,-0.136199,-0.447856
10.7067,-0.142035,-0.427553
10.72,-0.147597,-0.406572
10.7333,-0.152874,-0.384954
10.7467,-0.15786,-0.36274
