T,X,V
7.2,-0.712845,2.21777
7.21333,-0.68265,2.31082
7.22667,-0.651241,2.39976
7.24,-0.618675,2.48443
7.25333,-0.585009,2.56469
7.26667,-0.550304,2.64039
7.28,-0.51462,2.7114
7.29333,-0.478021,2.77758
7.30667,-0.440573,2.83883
7.32,-0.402341,2.89503
7.33333,-0.363395,2.94609
7.34667,-0.323802,2.99191
7.36,-0.283634,3.03241
7.37333,-0.242962,3.06752
7.38667,-0.201858,3.09718
7.4,-0.160395,3.12134
7.41333,-0.118647,3.13994
7.42667,-0.0766881,3.15297
7.44,-0.0345928,3.16038
7.45333,0.0075639,3.16219
7.46667,0.0497072,3.15837
7.48,0.0917621,3.14894
7.49333,0.133654,3.13391
7.50667,0.175308,3.11331
7.52,0.216651,3.08717
7.53333,0.257608,3.05555
7.54667,0.298108,3.0185
7.56,0.338078,2.97608
7.57333,0.377446,2.92837
7.58667,0.416144,2.87545
7.6,0.454103,2.81743
7.61333,0.491254,2.7544
7.62667,0.527531,2.68647
7.64,0.562871,2.61376
7.65333,0.597211,2.53641
7.66667,0.630489,2.45455
7.68,0.662646,2.36833
7.69333,0.693626,2.2779
7.70667,0.723372,2.18342
7.72,0.751833,2.08506
7.73333,0.778958,1.98299
7.74667,0.804697,1.8774
7.76,0.829007,1.76847
7.77333,0.851842,1.65639
7.78667,0.873164,1.54138
7.8,0.892934,1.42362
7.81333,0.911116,1.30333
7.82667,0.927679,1.18073
7.84,0.942593,1.05602
7.85333,0.955831,0.929444
7.86667,0.967371,0.801212
7.88,0.977191,0.671555
7.89333,0.985273,0.540705
7.90667,0.991605,0.408893
7.92,0.996174,0.276355
7.93333,0.998972,0.143326
7.94667,0.999995,0.0100415
7.96,0.99924,-0.123261
7.97333,0.996709,-0.256344
7.98667,0.992406,-0.388971
8,0.986339,-0.520907
8.01333,0.978519,-0.651917
8.02667,0.96896,-0.781768
8.04,0.957679,-0.91023
8.05333,0.944695,-1.03707
8.06667,0.930031,-1.16207
8.08,0.913715,-1.28501
8.09333,0.895775,-1.40566
8.10667,0.876242,-1.52381
8.12,0.855152,-1.63925
8.13333,0.832542,-1.75178
8.14667,0.808451,-1.8612
8.16,0.782924,-1.96731
8.17333,0.756005,-2.06992
8.18667,0.727743,-2.16885
8.2,0.698187,-2.26392
8.21333,0.667389,-2.35498
8.22667,0.635406,-2.44184
8.24,0.602293,-2.52437
8.25333,0.568109,-2.60241
8.26667,0.532916,-2.67582
8.28,0.496775,-2.74447
8.29333,0.459752,-2.80825
8.30667,0.421911,-2.86704
8.32,0.38332,-2.92073
8.33333,0.344048,-2.96923
8.34667,0.304164,-3.01245
8.36,0.26374,-3.05031
8.37333,0.222846,-3.08276
8.38667,0.181557,-3.10972
8.4,0.139945,-3.13116
8.41333,0.0980843,-3.14703
8.42667,0.0560491,-3.15731
8.44,0.0139144,-3.16197
8.45333,-0.0282451,-3.16102
8.46667,-0.0703544,-3.15444
8.48,-0.112339,-3.14226
8.49333,-0.154123,-3.12449
8.50667,-0.195634,-3.10117
8.52,-0.236797,-3.07234
8.53333,-0.277539,-3.03805
8.54667,-0.317787,-2.99835
8.56,-0.357471,-2.95333
8.57333,-0.396519,-2.90305
8.58667,-0.434863,-2.84762
8.6,-0.472433,-2.78713
8.61333,-0.509164,-2.72168
8.62667,-0.54499,-2.65139
8.64,-0.579847,-2.57639
8.65333,-0.613673,-2.49681
8.66667,-0.646409,-2.41279
8.68,-0.677995,-2.32448
8.69333,-0.708377,-2.23205
8.70667,-0.737499,-2.13564
8.72,-0.76531,-2.03544
8.73333,-0.791761,-1.93162
8.74667,-0.816805,-1.82436
8.76,-0.840396,-1.71387
8.77333,-0.862494,-1.60032
8.78667,-0.883059,-1.48394
8.8,-0.902054,-1.36491
8.81333,-0.919446,-1.24346
8.82667,-0.935203,-1.1198
8.84,-0.949298,-0.994147
8.85333,-0.961706,-0.866728
8.86667,-0.972404,-0.737768
8.88,-0.981374,-0.607497
8.89333,-0.988599,-0.476146
8.90667,-0.994067,-0.343948
8.92,-0.997768,-0.21114
8.93333,-0.999696,-0.0779555
8.94667,-0.999847,0.0553671
8.96,-0.99822,0.188591
8.97333,-0.994819,0.32148
8.98667,-0.98965,0.453798
9,-0.982721,0.585309
9.01333,-0.974046,0.715779
9.02667,-0.96364,0.844977
9.04,-0.95152,0.972674
9.05333,-0.937709,1.09864
9.06667,-0.922232,1.22266
9.08,-0.905115,1.3445
9.09333,-0.886389,1.46395
9.10667,-0.866088,1.5808
9.12,-0.844247,1.69484
9.13333,-0.820906,1.80586
9.14667,-0.796105,1.91368
9.16,-0.769889,2.01809
9.17333,-0.742305,2.11892
9.18667,-0.713401,2.21598
9.2,-0.68323,2.30911
9.21333,-0.651843,2.39812
9.22667,-0.619299,2.48288
9.24,-0.585653,2.56322
9.25333,-0.550966,2.63901
9.26667,-0.5153,2.7101
9.28,-0.478718,2.77638
9.29333,-0.441285,2.83772
9.30667,-0.403068,2.89402
9.32,-0.364134,2.94518
9.33333,-0.324553,2.9911
9.34667,-0.284395,3.0317
9.36,-0.243732,3.06691
9.37333,-0.202635,3.09667
9.38667,-0.161179,3.12093
9.4,-0.119435,3.13964
9.41333,-0.0774796,3.15277
9.42667,-0.0353862,3.1603
9.44,0.00677007,3.16221
9.45333,0.0489143,3.15849
9.46667,0.0909716,3.14917
9.48,0.132867,3.13424
9.49333,0.174527,3.11374
9.50667,0.215876,3.08771
9.52,0.256841,3.05619
9.53333,0.29735,3.01924
9.54667,0.33733,2.97692
9.56,0.376711,2.92931
9.57333,0.415422,2.8765
9.58667,0.453395,2.81857
9.6,0.490562,2.75563
9.61333,0.526857,2.68779
9.62667,0.562215,2.61518
9.64,0.596574,2.53791
9.65333,0.629873,2.45614
9.66667,0.662052,2.36999
9.68,0.693054,2.27964
9.69333,0.722824,2.18524
9.70667,0.75131,2.08695
9.72,0.778459,1.98495
9.73333,0.804226,1.87942
9.74667,0.828562,1.77055
9.76,0.851426,1.65853
9.77333,0.872777,1.54357
9.78667,0.892576,1.42586
9.8,0.910789,1.30562
9.81333,0.927382,1.18306
9.82667,0.942327,1.05839
9.84,0.955598,0.931843
9.85333,0.967169,0.80364
9.86667,0.977022,0.674008
9.88,0.985137,0.543178
9.89333,0.991502,0.411383
9.90667,0.996104,0.278856
9.92,0.998936,0.145834
9.93333,0.999992,0.0125519
9.94667,0.999271,-0.120752
9.96,0.996773,-0.253841
9.97333,0.992504,-0.386479
9.98667,0.98647,-0.518431
10,0.978683,-0.64946
10.0133,0.969156,-0.779335
10.0267,0.957907,-0.907825
10.04,0.944955,-1.0347
10.0533,0.930323,-1.15974
10.0667,0.914037,-1.28271
10.08,0.896127,-1.40341
10.0933,0.876624,-1.52161
10.1067,0.855563,-1.63711
10.12,0.832981,-1.74969
10.1333,0.808918,-1.85917
10.1467,0.783418,-1.96534
10.16,0.756525,-2.06802
10.1733,0.728287,-2.16702
10.1867,0.698755,-2.26217
10.2,0.66798,-2.3533
10.2133,0.636019,-2.44025
10.2267,0.602926,-2.52285
10.24,0.568762,-2.60098
10.2533,0.533588,-2.67448
10.2667,0.497464,-2.74323
10.28,0.460456,-2.8071
10.2933,0.42263,-2.86598
10.3067,0.384053,-2.91977
10.32,0.344793,-2.96836
10.3333,0.30492,-3.01168
10.3467,0.264505,-3.04965
10.36,0.22362,-3.0822
10.3733,0.182338,-3.10927
10.3867,0.140731,-3.13081
10.4,0.0988742,-3.14678
10.4133,0.0568417,-3.15716
10.4267,0.0147081,-3.16194
10.44,-0.0274516,-3.16109
10.4533,-0.0695625,-3.15462
10.4667,-0.11155,-3.14254
10.48,-0.153339,-3.12488
10.4933,-0.194855,-3.10166
10.5067,-0.236025,-3.07293
10.52,-0.276776,-3.03874
10.5333,-0.317034,-2.99915
10.5467,-0.356729,-2.95422
10.56,-0.39579,-2.90405
10.5733,-0.434148,-2.84871
10.5867,-0.471733,-2.78831
10.6,-0.508481,-2.72295
10.6133,-0.544324,-2.65276
10.6267,-0.5792,-2.57784
10.64,-0.613046,-2.49835
10.6533,-0.645803,-2.41441
10.6667,-0.677411,-2.32619
10.68,-0.707816,-2.23382
10.6933,-0.736962,-2.13749
10.7067,-0.764799,-2.03736
10.72,-0.791276,-1.9336
10.7333,-0.816346,-1.82641
10.7467,-0.839966,-1.71598
10.76,-0.862092,-1.60249
10.7733,-0.882686,-1.48615
10.7867,-0.901711,-1.36718
10.8,-0.919133,-1.24577
10.8133,-0.934922,-1.12215
10.8267,-0.949048,-0.99653
10.84,-0.961488,-0.869142
10.8533,-0.972219,-0.740209
10.8667,-0.981221,-0.60996
10.88,-0.988479,-0.478627
10.8933,-0.993981,-0.346444
10.9067,-0.997715,-0.213644
10.92,-0.999676,-0.0804651
10.9333,-0.99986,0.0528571
10.9467,-0.998267,0.186085
10.96,-0.994899,0.318983
10.9733,-0.989763,0.451313
10.9867,-0.982868,0.582841
11,-0.974226,0.713334
11.0133,-0.963851,0.842558
11.0267,-0.951764,0.970285
11.04,-0.937985,1.09629
11.0533,-0.922538,1.22034
11.0667,-0.905452,1.34222
11.08,-0.886756,1.46172
11.0933,-0.866484,1.57862
11.1067,-0.844672,1.69272
11.12,-0.821359,1.8038
11.1333,-0.796585,1.91168
11.1467,-0.770396,2.01616
11.16,-0.742837,2.11706
11.1733,-0.713957,2.21419
11.1867,-0.683809,2.30739
11.2,-0.652445,2.39649
11.2133,-0.619922,2.48132
11.2267,-0.586296,2.56175
11.24,-0.551629,2.63762
11.2533,-0.51598,2.70881
11.2667,-0.479415,2.77518
11.28,-0.441998,2.83661
11.2933,-0.403794,2.89301
11.3067,-0.364874,2.94426
11.32,-0.325304,2.99028
11.3333,-0.285156,3.03098
11.3467,-0.244502,3.0663
11.36,-0.203413,3.09616
11.3733,-0.161962,3.12053
11.3867,-0.120223,3.13934
11.4,-0.078271,3.15258
11.4133,-0.0361795,3.16021
11.4267,0.00597623,3.16222
11.44,0.0481214,3.15861
11.4533,0.090181,3.14939
11.4667,0.13208,3.13457
11.48,0.173745,3.11418
11.4933,0.215101,3.08825
11.5067,0.256074,3.05684
11.52,0.296592,3.01999
11.5333,0.336583,2.97777
11.5467,0.375976,2.93026
11.56,0.4147,2.87754
11.5733,0.452687,2.81971
11.5867,0.48987,2.75686
11.6,0.526182,2.68911
11.6133,0.561558,2.61659
11.6267,0.595937,2.53941
11.64,0.629256,2.45772
11.6533,0.661457,2.37166
11.6667,0.692481,2.28138
11.68,0.722275,2.18705
11.6933,0.750785,2.08883
11.7067,0.777961,1.9869
11.72,0.803754,1.88144
11.7333,0.828118,1.77263
11.7467,0.85101,1.66067
11.76,0.872389,1.54576
11.7733,0.892218,1.4281
11.7867,0.910461,1.30791
