T,X,V
7.37333,-0.0956749,0.993426
7.38667,-0.0824141,0.995526
7.4,-0.0691317,0.996681
7.41333,-0.0558401,0.996908
7.42667,-0.0425515,0.996226
7.44,-0.029278,0.994648
7.45333,-0.0160315,0.992186
7.46667,-0.00282361,0.988852
7.48,0.0103341,0.984654
7.49333,0.02343,0.979599
7.50667,0.0364529,0.97369
7.52,0.0493913,0.96693
7.53333,0.0622339,0.959321
7.54667,0.0749694,0.950861
7.56,0.0875864,0.941548
7.57333,0.100074,0.93138
7.58667,0.112419,0.920352
7.6,0.124612,0.908458
7.61333,0.136641,0.895693
7.62667,0.148494,0.882051
7.64,0.160158,0.867526
7.65333,0.171624,0.852111
7.66667,0.182877,0.835802
7.68,0.193908,0.818593
7.69333,0.204703,0.800481
7.70667,0.21525,0.781464
7.72,0.225538,0.76154
7.73333,0.235554,0.740712
7.74667,0.245286,0.718981
7.76,0.254722,0.696354
7.77333,0.263851,0.67284
7.78667,0.272661,0.648448
7.8,0.28114,0.623194
7.81333,0.289276,0.597095
7.82667,0.297058,0.570172
7.84,0.304477,0.542449
7.85333,0.31152,0.513955
7.86667,0.318179,0.48472
7.88,0.324443,0.454781
7.89333,0.330303,0.424176
7.90667,0.335752,0.392947
7.92,0.34078,0.361142
7.93333,0.34538,0.328808
7.94667,0.349546,0.295999
7.96,0.353271,0.26277
7.97333,0.356551,0.229178
7.98667,0.359381,0.195285
8,0.361758,0.161153
8.01333,0.363678,0.126846
8.02667,0.36514,0.0924299
8.04,0.366142,0.0579706
8.05333,0.366686,0.0235354
8.06667,0.36677,-0.0108084
8.08,0.366398,-0.0449939
8.09333,0.365572,-0.0789548
8.10667,0.364294,-0.112626
8.12,0.36257,-0.145944
8.13333,0.360404,-0.178846
8.14667,0.357803,-0.211272
8.16,0.354773,-0.243167
8.17333,0.351321,-0.274474
8.18667,0.347456,-0.305142
8.2,0.343187,-0.335123
8.21333,0.338523,-0.364373
8.22667,0.333474,-0.392849
8.24,0.32805,-0.420515
8.25333,0.322264,-0.447336
8.26667,0.316125,-0.473282
8.28,0.309647,-0.498328
8.29333,0.302841,-0.522451
8.30667,0.295719,-0.545631
8.32,0.288295,-0.567855
8.33333,0.280581,-0.589109
8.34667,0.272589,-0.609386
8.36,0.264335,-0.62868
8.37333,0.255829,-0.646989
8.38667,0.247086,-0.664313
8.4,0.238118,-0.680654
8.41333,0.22894,-0.696019
8.42667,0.219562,-0.710414
8.44,0.209999,-0.723848
8.45333,0.200264,-0.736331
8.46667,0.190368,-0.747876
8.48,0.180325,-0.758495
8.49333,0.170146,-0.768201
8.50667,0.159843,-0.77701
8.52,0.149429,-0.784936
8.53333,0.138915,-0.791994
8.54667,0.128313,-0.7982
8.56,0.117634,-0.803567
8.57333,0.106888,-0.808112
8.58667,0.0960878,-0.811847
8.6,0.0852427,-0.814788
8.61333,0.0743636,-0.816947
8.62667,0.0634609,-0.818336
8.64,0.0525447,-0.818967
8.65333,0.0416251,-0.818852
8.66667,0.0307119,-0.817998
8.68,0.019815,-0.816417
8.69333,0.00894403,-0.814115
8.70667,-0.00189152,-0.811099
8.72,-0.0126821,-0.807376
8.73333,-0.0234184,-0.80295
8.74667,-0.034091,-0.797826
8.76,-0.0446907,-0.792007
8.77333,-0.0552081,-0.785496
8.78667,-0.0656342,-0.778295
8.8,-0.0759596,-0.770406
8.81333,-0.0861753,-0.761829
8.82667,-0.096272,-0.752565
8.84,-0.106241,-0.742615
8.85333,-0.116072,-0.731979
8.86667,-0.125757,-0.720658
8.88,-0.135287,-0.708651
8.89333,-0.144651,-0.69596
8.90667,-0.153842,-0.682586
8.92,-0.162851,-0.668532
8.93333,-0.171667,-0.653798
8.94667,-0.180282,-0.63839
8.96,-0.188688,-0.622311
8.97333,-0.196874,-0.605568
8.98667,-0.204833,-0.588167
9,-0.212556,-0.570117
9.01333,-0.220034,-0.551428
9.02667,-0.227258,-0.532111
9.04,-0.23422,-0.51218
9.05333,-0.240913,-0.49165
9.06667,-0.247328,-0.470538
9.08,-0.253458,-0.448863
9.09333,-0.259296,-0.426647
9.10667,-0.264833,-0.403912
9.12,-0.270065,-0.380683
9.13333,-0.274983,-0.356988
9.14667,-0.279582,-0.332856
9.16,-0.283857,-0.308317
9.17333,-0.287802,-0.283404
9.18667,-0.291413,-0.258152
9.2,-0.294685,-0.232597
9.21333,-0.297615,-0.206777
9.22667,-0.300198,-0.18073
9.24,-0.302433,-0.154497
9.25333,-0.304317,-0.128119
9.26667,-0.305849,-0.101637
9.28,-0.307028,-0.0750958
9.29333,-0.307852,-0.0485371
9.30667,-0.308322,-0.0220047
9.32,-0.308439,0.00445797
9.33333,-0.308204,0.0308077
9.34667,-0.307618,0.0570015
9.36,-0.306684,0.0829972
9.37333,-0.305406,0.108753
9.38667,-0.303786,0.134229
9.4,-0.301828,0.159385
9.41333,-0.299537,0.184184
9.42667,-0.296918,0.208588
9.44,-0.293976,0.232563
9.45333,-0.290718,0.256076
9.46667,-0.28715,0.279095
9.48,-0.283278,0.301591
9.49333,-0.27911,0.323537
9.50667,-0.274653,0.344907
9.52,-0.269915,0.365678
9.53333,-0.264904,0.385829
9.54667,-0.259629,0.405342
9.56,-0.254098,0.424199
9.57333,-0.24832,0.442386
9.58667,-0.242304,0.45989
9.6,-0.236059,0.476701
9.61333,-0.229595,0.49281
9.62667,-0.222921,0.508211
9.64,-0.216046,0.522897
9.65333,-0.20898,0.536867
9.66667,-0.201733,0.550117
9.68,-0.194314,0.562647
9.69333,-0.186732,0.574459
9.70667,-0.178998,0.585555
9.72,-0.171121,0.595936
9.73333,-0.16311,0.605609
9.74667,-0.154974,0.614577
9.76,-0.146724,0.622846
9.77333,-0.138368,0.630423
9.78667,-0.129916,0.637314
9.8,-0.121376,0.643526
9.81333,-0.112758,0.649067
9.82667,-0.10407,0.653944
9.84,-0.0953223,0.658165
9.85333,-0.0865223,0.661737
9.86667,-0.0776789,0.664669
9.88,-0.0688006,0.666967
9.89333,-0.0598959,0.668639
9.90667,-0.050973,0.669692
9.92,-0.0420401,0.670133
9.93333,-0.0331054,0.669969
9.94667,-0.0241769,0.669204
9.96,-0.0152626,0.667846
9.97333,-0.00637033,0.6659
9.98667,0.00249211,0.66337
10,0.011317,0.660262
10.0133,0.0200965,0.65658
10.0267,0.0288232,0.652328
10.04,0.0374894,0.64751
10.0533,0.0460876,0.642129
10.0667,0.0546104,0.63619
10.08,0.0630502,0.629694
10.0933,0.0713998,0.622646
10.1067,0.0796517,0.615049
10.12,0.0877986,0.606904
10.1333,0.0958334,0.598217
10.1467,0.103749,0.58899
10.16,0.111537,0.579227
10.1733,0.119192,0.568931
10.1867,0.126707,0.558107
10.2,0.134073,0.54676
10.2133,0.141285,0.534894
10.2267,0.148334,0.522517
10.24,0.155216,0.509633
10.2533,0.161922,0.496251
10.2667,0.168447,0.482378
10.28,0.174784,0.468023
10.2933,0.180926,0.453197
10.3067,0.186867,0.437909
10.32,0.192601,0.422172
10.3333,0.198123,0.405998
10.3467,0.203426,0.389402
10.36,0.208505,0.372398
10.3733,0.213355,0.355002
10.3867,0.21797,0.337231
10.4,0.222346,0.319105
10.4133,0.226478,0.300642
10.4267,0.230362,0.281863
10.44,0.233993,0.26279
10.4533,0.237368,0.243445
10.4667,0.240484,0.223851
10.48,0.243337,0.204035
10.4933,0.245924,0.184019
10.5067,0.248243,0.163832
10.52,0.250292,0.1435
10.5333,0.252069,0.123049
10.5467,0.253573,0.102509
10.56,0.254803,0.081907
10.5733,0.255757,0.0612723
10.5867,0.256437,0.0406337
10.6,0.256841,0.0200201
10.6133,0.256971,-0.000539518
10.6267,0.256827,-0.0210163
10.64,0.256411,-0.0413816
10.6533,0.255724,-0.0616072
10.6667,0.254769,-0.0816653
10.68,0.253547,-0.101529
10.6933,0.252062,-0.12117
10.7067,0.250317,-0.140565
10.72,0.248315,-0.159687
10.7333,0.24606,-0.178513
10.7467,0.243556,-0.197019
10.76,0.240808,-0.215183
10.7733,0.237819,-0.232984
10.7867,0.234596,-0.250402
10.8,0.231144,-0.267418
10.8133,0.227467,-0.284016
10.8267,0.223572,-0.300178
10.84,0.219464,-0.315889
10.8533,0.21515,-0.331136
10.8667,0.210636,-0.345906
10.88,0.205928,-0.360188
10.8933,0.201033,-0.373972
